Name;Young?;SpT;URL
2MASS J0649-3823;Y;M5 gamma;https://zenodo.org/record/19060/files/J06494706-3823284.fits
2MASS J0720-5617;Y;M6 gamma;https://zenodo.org/record/19060/files/J07202582-5617224.fits
2MASS J0752-7947;Y;M5: gamma;https://zenodo.org/record/19060/files/J07525247-7947386.fits
2MASS J0803+0827;Y;M6 beta;https://zenodo.org/record/19060/files/J080344690827000.fits
2MASS J0856-1342;Y;M8 gamma;https://zenodo.org/record/19060/files/J08561384-1342242.fits
2MASS J0945-7753;Y;M9 beta;https://zenodo.org/record/19060/files/J09451445-7753150.fits
2MASS J0953-1014;Y;M9 beta;https://zenodo.org/record/19060/files/J09532126-1014205.fits
2MASS J1028-2830;Y;M6 gamma;https://zenodo.org/record/19060/files/J10284580-2830374.fits
2MASS J1045-2819;Y;M6 gamma;https://zenodo.org/record/19060/files/J10455263-2819303.fits
2MASS J1106-3715;Y;M9 gamma;https://zenodo.org/record/19060/files/J11064461-3715115.fits
2MASS J1257-3635;Y;M6:: gamma;https://zenodo.org/record/19060/files/J12574463-3635431.fits
2MASS J1257-4111;Y;M6 gamma;https://zenodo.org/record/19060/files/J12574941-4111373.fits
2MASS J1358-0046;Y;M5.5 gamma;https://zenodo.org/record/19060/files/J13582164-0046262.fits
2MASS J1411-2119;Y;M8.5 beta;https://zenodo.org/record/19060/files/J14112131-2119503.fits
2MASS J2028-5637;Y;M8.5 gamma;https://zenodo.org/record/19060/files/J20282203-5637024.fits
2MASS J2033-5635;Y;L0 gamma;https://zenodo.org/record/19060/files/J20334473-5635338.fits
2MASS J2033-3733;Y;M6: beta;https://zenodo.org/record/19060/files/J20334670-3733443.fits
2MASS J2038-4118;Y;M5 beta;https://zenodo.org/record/19060/files/J20385687-4118285.fits
2MASS J2039-1126;Y;M7 beta;https://zenodo.org/record/19060/files/J20391314-1126531.fits
2MASS J2050-3639;Y;M5 beta;https://zenodo.org/record/19060/files/J20505221-3639552.fits
2MASS J2112-8128;Y;M5.5 beta;https://zenodo.org/record/19060/files/J21121598-8128452.fits
2MASS J2154-1055;Y;L5 beta/gamma;https://zenodo.org/record/19060/files/J21543454-1055308.fits
2MASS J2154-7459;Y;M9.5: beta;https://zenodo.org/record/19060/files/J21544859-7459134.fits
2MASS J2202-5605;Y;M9: gamma;https://zenodo.org/record/19060/files/J22025794-5605087.fits
2MASS J2313-6127;Y;M5 beta;https://zenodo.org/record/19060/files/J23130558-6127077.fits
2MASS J2314-5405;Y;M5 beta;https://zenodo.org/record/19060/files/J23143092-5405313.fits
2MASS J2322-6151 A;Y;M5 gamma;https://zenodo.org/record/19060/files/J23225240-6151114.fits
2MASS J2322-6151 B;Y;L1 gamma;https://zenodo.org/record/19060/files/J23225299-6151275.fits
SIMP J0006-2158;N;M9:: ;https://zenodo.org/record/58501/files/sp3_SIMP000631-215822_080914.fits
SIMP J0008+0806;N;L0.5::;https://zenodo.org/record/58501/files/C00080806_ind.fits
SIMP J0013+0841;N;L1:;https://zenodo.org/record/58501/files/C00130841_ind.fits
2MASS J0021-4244;N;L0.5;https://zenodo.org/record/19060/files/J00210589-4244433.fits
SIMP J0026-0936;N;M9  ;https://zenodo.org/record/58501/files/sp1_SIMP002653-093627_080919.fits
2MASS J0046+0252;N;L0;https://zenodo.org/record/19060/files/J004615510252004.fits
SIMP J0049+0440;N;L8.5:;https://zenodo.org/record/58501/files/sp2_SIMP004928044059_060816.fits
SIMP J0049+0440;N;L8.5:;https://zenodo.org/record/58501/files/sp2_SIMP004928044059_060819.fits
SIMP J0102+0355;N;L9:;https://zenodo.org/record/58501/files/sp2_SIMP010202035541_060816.fits
SIMP J0103+1940;N;M9.5: ;https://zenodo.org/record/58501/files/sp1_SIMP010311194030_080918.fits
SIMP J0151+3824;N;L1.5;https://zenodo.org/record/58501/files/sp1_SIMP015127382430_080919.fits
SIMP J0155+0950;N;L4;https://zenodo.org/record/58501/files/sp2_SIMP015504094960_060816.fits
SIMP J0155+0950;N;L4;https://zenodo.org/record/58501/files/C01550950_ind.fits
SIMP J0211-1427;N;L2;https://zenodo.org/record/58501/files/sp1_SIMP021110-142740_080919.fits
2MASS J0244-3548;N;L2 p;https://zenodo.org/record/19060/files/J02441019-3548036.fits
SIMP J0251-0818;N;L5:;https://zenodo.org/record/58501/files/C0251-0818_ind.fits
2MASS J0253-7959;N;M6 p;https://zenodo.org/record/19060/files/J02534448-7959133.fits
2MASS J0300-5459;N;M5;https://zenodo.org/record/19060/files/J03005033-5459267.fits
SIMP J0307+0852;N;L1.5  ;https://zenodo.org/record/58501/files/sp2_SIMP030703085212_070219.fits
2MASS J0314+1603;N;M9 p;https://zenodo.org/record/19060/files/J031403441603056.fits
SIMP J0316+2650;N;T2.5;https://zenodo.org/record/58501/files/sp1_SIMP031627265005_080917.fits
2MASS J0320-3313;N;M5.5:;https://zenodo.org/record/19060/files/J03204919-3313400.fits
2MASS J0326-0617;N;M5;https://zenodo.org/record/19060/files/J03263956-0617586.fits
SIMP J0331+1944;N;L0::;https://zenodo.org/record/58501/files/C03311944_ind.fits
2MASS J0333-3215;N;M6.5;https://zenodo.org/record/19060/files/J03333313-3215181.fits
2MASS J0453-1751;N?;L3;https://zenodo.org/record/19060/files/J04532647-1751543.fits
SIMP J0414+1529;N;M8.5:;https://zenodo.org/record/58501/files/sp1_SIMP041448152854_080302.fits
SIMP J0417-1345;N;L2;https://zenodo.org/record/58501/files/sp1_SIMP041732-134547_080302.fits
SIMP J0417-1838;N;L3: ;https://zenodo.org/record/58501/files/sp1_SIMP041752-183832_080917.fits
SIMP J0418+1121;N;M8:;https://zenodo.org/record/58501/files/sp1_SIMP041820112120_080302.fits
SIMP J0421-1950;N;M9:  ;https://zenodo.org/record/58501/files/sp2_SIMP042101-195026_070215.fits
SIMP J0421-1133;N;L3:  ;https://zenodo.org/record/58501/files/sp2_SIMP042107-113343_070106.fits
SIMP J0422+0723;N;L1;https://zenodo.org/record/58501/files/sp1_SIMP042230072344_080919.fits
SIMP J0422+1033;N;M9.5: ;https://zenodo.org/record/58501/files/C04221033_ind.fits
SIMP J0422+1033;N;M9.5: ;https://zenodo.org/record/58501/files/sp1_SIMP042232103314_080301.fits
SIMP J0423+1212;N;M9.5: ;https://zenodo.org/record/58501/files/sp2_SIMP042320121212_070225.fits
SIMP J0425-1900;N;M6.5:;https://zenodo.org/record/58501/files/sp2_SIMP042536-190002_070225.fits
SIMP J0429+0607;N;L0:  ;https://zenodo.org/record/58501/files/sp2_SIMP042927060737_070225.fits
SIMP J0429+0607;N;L0:  ;https://zenodo.org/record/58501/files/C04290607_ind.fits
SIMP J0430+1035;N;M9::  ;https://zenodo.org/record/58501/files/sp2_SIMP043022103544_070224.fits
SIMP J0432-0639;N;L2  ;https://zenodo.org/record/58501/files/sp1_SIMP043237-063958_080919.fits
2MASS J0805+2505 B;N;M5;https://zenodo.org/record/19060/files/J080559442505028_B.fits
2MASS J0819-0450;N;L1: p;https://zenodo.org/record/19060/files/J08194351-0450071.fits
2MASS J0820-7514;N;L3.5;https://zenodo.org/record/19060/files/J08204440-7514571.fits
2MASS J0825-0029;N;L0.5;https://zenodo.org/record/19060/files/J08254335-0029110.fits
SIMP J0851+1043;N;L3 ;https://zenodo.org/record/58501/files/sp2_SIMP085120104348_070108.fits
SIMP J0858+2214;N;L1:;https://zenodo.org/record/58501/files/C08582214_ind.fits
SIMP J0858+2710;N;L1.5: ;https://zenodo.org/record/58501/files/sp2_SIMP085837271052_070105.fits
SIMP J0915+0514;N;L2:;https://zenodo.org/record/58501/files/sp1_SIMP091556051419_080229.fits
SIMP J0921-1534;N;L5::  ;https://zenodo.org/record/58501/files/sp2_SIMP092133-153429_070107.fits
SIMP J0936+0528;N;M9:;https://zenodo.org/record/58501/files/sp2_SIMP093634052823_070129.fits
SIMP J0940+2946;N;L2:;https://zenodo.org/record/58501/files/sp1_SIMP094029.fits
SIMP J0945-0757;N;L1.5:;https://zenodo.org/record/58501/files/sp1_SIMP094555-075805_080302.fits
SIMP J0946+1808;N;L2.5:: ;https://zenodo.org/record/58501/files/C09461808_ind.fits
SIMP J0946+0922;N;M9.5:  ;https://zenodo.org/record/58501/files/sp2_SIMP094654092243_070107.fits
SIMP J0947+0617;N;L0:;https://zenodo.org/record/58501/files/C09470617_ind.fits
SIMP J0951-1343;N;L6::;https://zenodo.org/record/58501/files/C0951-1343_ind.fits
SIMP J0956-1447;N;L9.5;https://zenodo.org/record/58501/files/sp1_SIMP095608-144714_080302.fits
SIMP J0956-1910;N;L6.5:  ;https://zenodo.org/record/58501/files/sp1_SIMP095645-191025_080301.fits
SIMP J1003-1441;N;L0.5:;https://zenodo.org/record/58501/files/C1003-1441_ind.fits
SIMP J1003-1441;N;L0.5:;https://zenodo.org/record/58501/files/sp1_SIMP100354-144153_080301.fits
SIMP J1004-1127;N;T2:: ;https://zenodo.org/record/58501/files/sp2_SIMP100437-112735_070106.fits
SIMP J1004-1318;N;L3.5  ;https://zenodo.org/record/58501/files/sp2_SIMP100440-131820_070331.fits
2MASS J1005+1703;N;M5;https://zenodo.org/record/19060/files/J100516411703264.fits
SIMP J1009+1559;N;L1:;https://zenodo.org/record/58501/files/sp2_SIMP100912155928_070106.fits
2MASS J1013-1706 A;N;M5 p;https://zenodo.org/record/19060/files/J10130718-1706349_A.fits
2MASS J1013-1706 B;N;M5 p;https://zenodo.org/record/19060/files/J10130718-1706349_B.fits
SIMP J1013-1946;N;L0:;https://zenodo.org/record/58501/files/sp2_SIMP101358-194655_070126.fits
SIMP J1014+1900;N;L0.5::  ;https://zenodo.org/record/58501/files/sp2_SIMP101449190004_070129.fits
SIMP J1031+3349;N;L2:;https://zenodo.org/record/58501/files/sp4_SIMP103150334958_090430.fits
2MASS J1035-2058;N;M5.5;https://zenodo.org/record/19060/files/J10352029-2058382.fits
SIMP J1035+3655;N;M9.5:;https://zenodo.org/record/58501/files/sp1_SIMP103553365536_080229.fits
SIMP J1036+0306;N;L3.5:  ;https://zenodo.org/record/58501/files/C10360306_ind.fits
SIMP J1036+0306;N;L3.5:  ;https://zenodo.org/record/58501/files/sp2_SIMP103603030616_070401.fits
SIMP J1039-2829;N;T3.5;https://zenodo.org/record/58501/files/sp3_SIMP103903-282929_080320.fits
SIMP J1039+2440;N;L5:: ;https://zenodo.org/record/58501/files/sp3_SIMP103908244044_080610.fits
SIMP J1039-1904;N;L2:;https://zenodo.org/record/58501/files/sp1_SIMP103913-190437_080302.fits
SIMP J1041-0429;N;L2.5:  ;https://zenodo.org/record/58501/files/sp2_SIMP104142-042925_070310.fits
SIMP J1044+0620;N;L0: ;https://zenodo.org/record/58501/files/C10440620_ind.fits
2MASS J1051-1916;N;M9 p;https://zenodo.org/record/19060/files/J10513331-1916530.fits
SIMP J1052+1722;N;L2:  ;https://zenodo.org/record/58501/files/C10521722_ind.fits
SIMP J1052+1722;N;L2:  ;https://zenodo.org/record/58501/files/sp2_SIMP105205172243_070406.fits
SIMP J1058+1339;N;L1.5:  ;https://zenodo.org/record/58501/files/sp2_SIMP105804133947_070108.fits
SIMP J1058+1339;N;L1.5:  ;https://zenodo.org/record/58501/files/C10581339_ind.fits
SIMP J1102+1629;N;M9.5:;https://zenodo.org/record/58501/files/sp2_SIMP110212162938_070108.fits
SIMP J1108+0838;N;L9::;https://zenodo.org/record/58501/files/sp2_SIMP110827083803_070404.fits
SIMP J1117+1857;N;L1:: ;https://zenodo.org/record/58501/files/sp2_SIMP111715185703_070130.fits
SIMP J1118-0856;N;L6.5: ;https://zenodo.org/record/58501/files/C1118-0856_ind.fits
SIMP J1118-0856;N;L6.5: ;https://zenodo.org/record/58501/files/sp1_SIMP111812-085615_080229.fits
SIMP J1118-0856;N;L6.5: ;https://zenodo.org/record/58501/files/sp3_SIMP111813-085612_080406.fits
SIMP J1122+0343;N;L4.5:;https://zenodo.org/record/58501/files/C11220343_ind.fits
SIMP J1127+1234;N;L1.5:;https://zenodo.org/record/58501/files/sp2_SIMP112726123433_070107.fits
SIMP J1130+2341;N;L2.5:  ;https://zenodo.org/record/58501/files/sp4_SIMP113038234144_090429.fits
SIMP J1132-3809;N;L8: ;https://zenodo.org/record/58501/files/sp3_SIMP113221-380957_080417.fits
2MASS J1133-7807;N;M6: p;https://zenodo.org/record/19060/files/J11335700-7807240.fits
SIMP J1138+0748;N;L2::;https://zenodo.org/record/58501/files/C11380748_ind.fits
SIMP J1141+1941;N;L0:;https://zenodo.org/record/58501/files/sp2_SIMP114114194113_070215.fits
SIMP J1143+1905;N;L7:: ;https://zenodo.org/record/58501/files/sp3_SIMP114303190544_080302.fits
SIMP J1147-1032;N;L3;https://zenodo.org/record/58501/files/sp2_SIMP114703-103256_070108.fits
SIMP J1147+2153;N;L1.5:;https://zenodo.org/record/58501/files/sp4_SIMP114734215400_090429.fits
SIMP J1150+0520;N;L5.5:  ;https://zenodo.org/record/58501/files/sp3_SIMP115013052011_080228.fits
SIMP J1150+0520;N;L5.5:  ;https://zenodo.org/record/58501/files/sp1_SIMP115012052003_080302.fits
SIMP J1200-2836;N;T0.5:;https://zenodo.org/record/58501/files/sp1_SIMP120035-283700_080301.fits
2MASS J1204-2806;N;L0.5;https://zenodo.org/record/19060/files/J12042529-2806364.fits
SIMP J1211+0406;N;L2.5;https://zenodo.org/record/58501/files/sp2_SIMP121130040608_070129.fits
SIMP J1211+0406;N;L2.5;https://zenodo.org/record/58501/files/C12110406_ind.fits
SIMP J1217+0708;N;L1;https://zenodo.org/record/58501/files/sp2_SIMP121735070832_070129.fits
SIMP J1218-1332;N;L4::  ;https://zenodo.org/record/58501/files/sp2_SIMP121850-133252_070107.fits
2MASS J1221+0257;N;M9 p;https://zenodo.org/record/19060/files/J122127700257198.fits
SIMP J1225-1013;N;T6;https://zenodo.org/record/58501/files/sp2_SIMP122559-101341_070325.fits
2MASS J1301-1510;N;L1.5;https://zenodo.org/record/19060/files/J13015465-1510223.fits
SIMP J1307-0558;N;L3.5::  ;https://zenodo.org/record/58501/files/sp2_SIMP130730-055815_070117.fits
SIMP J1308+0818;N;M9.5:;https://zenodo.org/record/58501/files/sp4_SIMP130831081847_090430.fits
SIMP J1308+0432;N;M9.5::  ;https://zenodo.org/record/58501/files/sp2_SIMP130843043243_070126.fits
SIMP J1308+0432;N;M9.5::  ;https://zenodo.org/record/58501/files/C13080432_ind.fits
SIMP J1317+0448;N;L2.5:;https://zenodo.org/record/58501/files/sp1_SIMP131748044812_080301.fits
SIMP J1318-0632;N;L0.5:;https://zenodo.org/record/58501/files/C1318-0632_ind.fits
SIMP J1324+1906;N;T4;https://zenodo.org/record/58501/files/sp2_SIMP132408190626_070223.fits
SIMP J1324+1906;N;T4;https://zenodo.org/record/58501/files/C13241906_ind.fits
SIMP J1339+1523;N;L0:;https://zenodo.org/record/58501/files/C13391523_ind.fits
SIMP J1343-1216;N;L5.5:  ;https://zenodo.org/record/58501/files/C1343-1216_ind.fits
SIMP J1343-1216;N;L5.5:  ;https://zenodo.org/record/58501/files/sp1_SIMP134310-121628_080302.fits
SIMP J1343-1216;N;L5.5:  ;https://zenodo.org/record/58501/files/sp3_SIMP134311-121628_080321.fits
SIMP J1343+1312;N;L0.5;https://zenodo.org/record/58501/files/sp2_SIMP134329131227_070404.fits
SIMP J1344-1614;N;L3.5::;https://zenodo.org/record/58501/files/sp1_SIMP1344-16.fits
SIMP J1411+2948;N;L6::  ;https://zenodo.org/record/58501/files/sp4_SIMP141118294851_090429.fits
SIMP J1414+0107;N;L3::;https://zenodo.org/record/58501/files/sp3_SIMP141406010710_080323.fits
SIMP J1415+2635;N;L1:;https://zenodo.org/record/58501/files/sp4_SIMP141542263501_090430.fits
SIMP J1422+0827;N;L2;https://zenodo.org/record/58501/files/C14220827_ind.fits
SIMP J1422+0827;N;L2;https://zenodo.org/record/58501/files/sp2_SIMP142257082750_070319.fits
SIMP J1452+1114;N;L2.5  ;https://zenodo.org/record/58501/files/sp4_SIMP145159111453_090429.fits
SIMP J1453-2744;N;M9.5:;https://zenodo.org/record/58501/files/sp2_SIMP145347-274428_060809.fits
SIMP J1453-2744;N;M9.5:;https://zenodo.org/record/58501/files/sp2_SIMP145347-274428_060810.fits
SIMP J1455+2619;N;L2: ;https://zenodo.org/record/58501/files/sp1_SIMP145526.fits
SIMP J1501-1831;N;L0:;https://zenodo.org/record/58501/files/sp1_SIMP150147-183124_080301.fits
SIMP J1510-1147;N;L4:  ;https://zenodo.org/record/58501/files/C1510-1147_ind.fits
SIMP J1510-1147;N;L4:  ;https://zenodo.org/record/58501/files/sp1_SIMP151022-114716_080229.fits
SIMP J1533+2044;N;M9.5:;https://zenodo.org/record/58501/files/sp3_SIMP153350204447_080924.fits
SIMP J1537-0800;N;L2.5;https://zenodo.org/record/58501/files/C1537-0800_ind.fits
SIMP J1537-0800;N;L2.5;https://zenodo.org/record/58501/files/sp2_SIMP153720-080037_070409.fits
2MASS J1547-1626 B;N;M5::;https://zenodo.org/record/19060/files/J15470557-1626303_B.fits
SIMP J1605+1931;N;L2.5;https://zenodo.org/record/58501/files/sp1_SIMP160556193119_080918.fits
SIMP J1613-0747;N;L4;https://zenodo.org/record/58501/files/sp2_SIMP161334-074708_070227.fits
SIMP J1613-0747;N;L4;https://zenodo.org/record/58501/files/C1613-0747_ind.fits
SIMP J1613-0747;N;L4;https://zenodo.org/record/58501/files/sp3_SIMP161335-074706_080321.fits
SIMP J1615+1340;N;T5.5;https://zenodo.org/record/58501/files/C16151340_ind.fits
SIMP J1615+1340;N;T5.5;https://zenodo.org/record/58501/files/sp2_SIMP161504134005_070403.fits
SIMP J1623-0508;N;L2:;https://zenodo.org/record/58501/files/sp1_SIMP162359-050809_080917.fits
SIMP J1627+0546;N;L0;https://zenodo.org/record/58501/files/C16270546_ind.fits
SIMP J1627+0546;N;L0;https://zenodo.org/record/58501/files/sp4_SIMP162708054625_090430.fits
SIMP J1627+0836;N;M9:;https://zenodo.org/record/58501/files/sp1_SIMP162750083605_080918.fits
SIMP J1628+0517;N;L0:;https://zenodo.org/record/58501/files/C16280517_ind.fits
SIMP J1629+0335;N;T2;https://zenodo.org/record/58501/files/IBIS162903_ind.fits
SIMP J1629+0335;N;T2;https://zenodo.org/record/58501/files/sp2_SIMP162919033536_070331.fits
SIMP J1644+2600;N;L1;https://zenodo.org/record/58501/files/sp1_SIMP164439260003_080919.fits
SIMP J1654+3747;N;L1:;https://zenodo.org/record/58501/files/sp1_SIMP165437.fits
2MASS J1706-1314;N;L5 p;https://zenodo.org/record/19060/files/J17065487-1314396.fits
SIMP J1708+2606;N;L4:  ;https://zenodo.org/record/58501/files/sp4_SIMP170848260629_090429.fits
SIMP J1755+3618;N;M6.5::;https://zenodo.org/record/58501/files/sp3_SIMP175535361811_080929.fits
SIMP J1756+2815;N;L1.5:  ;https://zenodo.org/record/58501/files/sp3_SIMP175608281523_080909.fits
SIMP J1756+3343;N;L2;https://zenodo.org/record/58501/files/sp3_SIMP175639334300_080909.fits
SIMP J1756+3343;N;L2;https://zenodo.org/record/58501/files/sp3_SIMP175639334300_080913.fits
SIMP J1811+2728;N;L2.5  ;https://zenodo.org/record/58501/files/sp1_SIMP181155272839_080917.fits
2MASS J1839+2952;N;M7;https://zenodo.org/record/19060/files/J183933082952164.fits
2MASS J1846-5706;N?;L1:;https://zenodo.org/record/19060/files/J18462188-5706040.fits
2MASS J1939-5216;N;L1;https://zenodo.org/record/19060/files/J19395435-5216468.fits
2MASS J2002-1316;N;M8.5;https://zenodo.org/record/19060/files/J20025265-1316418.fits
2MASS J2005-6258;N;M5;https://zenodo.org/record/19060/files/J20050639-6258034.fits
2MASS J2041-3506;N;L2;https://zenodo.org/record/19060/files/J20414283-3506442.fits
2MASS J2048-3255;N;M9;https://zenodo.org/record/19060/files/J20482880-3255434.fits
2MASS J2048-5127;N;L2 p;https://zenodo.org/record/19060/files/J20484222-5127435.fits
2MASS J2048-5127;N;L2 p;https://zenodo.org/record/19060/files/J20484222-5127435.fits
2MASS J2114-4339;N;M7.5 p;https://zenodo.org/record/19060/files/J21144103-4339531.fits
SIMP J2117-0611;N;L2.5: ;https://zenodo.org/record/58501/files/C2117-0611_ind.fits
SIMP J2132-1452;N;T3.5;https://zenodo.org/record/58501/files/sp3_SIMP213249-145256_080425.fits
SIMP J2143-1544;N;M8:;https://zenodo.org/record/58501/files/sp1_SIMP214305-154446_080919.fits
SIMP J2148+2239;N;T1:;https://zenodo.org/record/58501/files/sp3_SIMP214836223943_080427.fits
2MASS J2148-4736;N;M5;https://zenodo.org/record/19060/files/J21484123-4736506.fits
SIMP J2150-0412;N;L1:: ;https://zenodo.org/record/58501/files/C2150-0412_ind.fits
SIMP J2155+2345;N;L2:;https://zenodo.org/record/58501/files/sp1_SIMP215558234531_080919.fits
SIMP J2157-0130;N;L7::;https://zenodo.org/record/58501/files/C2157-0130_ind.fits
2MASS J2202-1109;N;M7;https://zenodo.org/record/19060/files/J22021125-1109461.fits
SIMP J2203-0301;N;M9:  ;https://zenodo.org/record/58501/files/sp1_SIMP220301-030109_080917.fits
2MASS J2206-6116;N;L0: p;https://zenodo.org/record/19060/files/J22062157-6116284.fits
SIMP J2213+1255;N;M8.5:;https://zenodo.org/record/58501/files/sp4_SIMP221305125453_090429.fits
SIMP J2215+2110;N;T1.5;https://zenodo.org/record/58501/files/sp1_SIMP221537211054_080918.fits
SIMP J2233-1331;N;T1.5::;https://zenodo.org/record/58501/files/C2233-1331_ind.fits
SIMP J2235+0418;N;L3;https://zenodo.org/record/58501/files/C22350418_ind.fits
SIMP J2238+2304;N;M9:;https://zenodo.org/record/58501/files/sp1_SIMP223828230404_080919.fits
SIMP J2239+1617;N;T3;https://zenodo.org/record/58501/files/C22391617_ind.fits
